Unnamed: 0,age,balance,campaign,pdays,last_contact,poutcome_success
2600,49,254,1,-1,189,0
2603,39,1554,1,-1,189,0
2611,44,2887,1,-1,189,0
2613,51,1212,1,-1,189,0
2619,44,29312,1,-1,189,0
2623,44,0,1,-1,189,0
2629,41,14,6,-1,189,0
2641,33,-306,4,-1,189,0
2652,52,0,2,-1,189,0
2653,55,0,2,-1,189,0
2658,40,93,2,-1,189,0
2659,31,822,6,-1,189,0
2663,25,800,4,-1,189,0
2671,53,2477,2,-1,189,0
2678,44,9956,2,-1,189,0
2680,54,2626,2,-1,189,0
2691,49,198,3,-1,189,0
2697,44,617,2,-1,189,0
2704,33,-238,2,-1,189,0
2710,57,515,2,-1,189,0
2716,41,1576,2,-1,189,0
2728,28,468,3,-1,189,0
2732,46,57,4,-1,188,0
2746,46,1483,3,-1,188,0
2749,38,547,4,-1,188,0
2760,44,326,2,-1,188,0
2766,31,591,3,-1,188,0
2769,28,348,3,-1,188,0
2774,31,393,1,-1,188,0
2777,56,871,1,-1,188,0
2782,51,573,1,-1,188,0
2788,46,0,1,-1,188,0
2792,47,4666,3,-1,188,0
2803,46,1029,1,-1,188,0
2805,50,204,1,-1,188,0
2807,44,0,1,-1,188,0
2826,45,520,1,-1,188,0
2835,58,-172,1,-1,188,0
2838,42,902,1,-1,188,0
2839,43,212,1,-1,188,0
2840,51,513,1,-1,188,0
2850,49,769,1,-1,188,0
2856,60,2639,2,-1,188,0
2860,47,1294,2,-1,188,0
2861,40,771,1,-1,188,0
2863,51,482,1,-1,188,0
2865,41,2823,1,-1,188,0
2866,41,338,1,-1,188,0
2867,53,5700,1,-1,188,0
2887,46,1733,1,-1,188,0
2904,57,2439,1,-1,188,0
2906,49,387,1,-1,188,0
2909,42,2535,1,-1,188,0
2912,34,9,2,-1,188,0
2916,33,673,2,-1,188,0
2920,34,357,2,-1,188,0
2921,40,782,2,-1,188,0
2922,41,2097,1,-1,188,0
2938,48,20718,1,-1,188,0
2944,60,3932,2,-1,188,0
2945,28,334,4,-1,188,0
2949,53,193,2,-1,188,0
2955,40,3652,2,-1,188,0
2959,50,0,1,-1,188,0
2961,28,1238,1,-1,188,0
2967,37,0,14,-1,188,0
2973,44,1944,5,-1,188,0
2976,50,2087,1,-1,188,0
2979,45,718,1,-1,188,0
2982,57,-1,2,-1,188,0
2984,34,577,1,-1,188,0
2985,49,-63,2,-1,188,0
2986,49,892,2,-1,188,0
2987,37,-113,2,-1,188,0
2991,45,1292,2,-1,188,0
3000,41,455,1,-1,188,0
3005,47,4906,1,-1,188,0
3009,35,441,1,-1,188,0
3034,44,2017,3,-1,188,0
3039,57,629,2,-1,188,0
3040,34,2800,1,-1,188,0
3044,51,425,14,-1,188,0
3045,30,-328,5,-1,188,0
3046,47,430,1,-1,188,0
3056,44,2416,3,-1,188,0
3059,28,280,3,-1,188,0
3060,42,2106,2,-1,188,0
3065,47,6439,3,-1,188,0
3068,29,900,1,-1,188,0
3074,44,1945,1,-1,188,0
3076,47,4556,1,-1,188,0
3083,43,206,1,-1,188,0
3085,44,976,2,-1,188,0
3087,45,1794,2,-1,188,0
3088,31,358,1,-1,188,0
3093,45,245,3,-1,188,0
3095,44,728,11,-1,188,0
3112,37,66,7,-1,188,0
3119,44,-295,4,-1,188,0
3120,36,0,6,-1,188,0
3126,41,30,3,-1,188,0
3131,49,2631,2,-1,188,0
3135,43,28,4,-1,188,0
3136,42,321,3,-1,188,0
3140,29,416,2,-1,188,0
3143,34,82,6,-1,188,0
3145,41,5291,3,-1,188,0
3146,57,3401,2,-1,188,0
3149,50,810,14,-1,188,0
3150,57,3105,11,-1,188,0
3157,52,601,2,-1,188,0
3167,41,718,2,-1,188,0
3172,56,1121,2,-1,187,0
3176,50,2938,5,-1,187,0
3182,58,44,2,-1,187,0
3186,42,259,6,-1,187,0
3192,42,2918,2,-1,187,0
3195,50,-143,3,-1,187,0
3196,52,1500,3,-1,187,0
3198,57,2440,2,-1,187,0
3206,46,3269,1,-1,187,0
3207,53,420,1,-1,187,0
3209,47,201,1,-1,187,0
3212,48,6127,1,-1,187,0
3214,52,-191,1,-1,187,0
3216,54,2883,3,-1,187,0
3220,42,1270,1,-1,187,0
3223,45,2217,1,-1,187,0
3231,58,0,5,-1,187,0
3238,43,1620,1,-1,187,0
3241,51,6659,1,-1,187,0
3242,48,1913,1,-1,187,0
3244,50,708,1,-1,187,0
3252,49,1530,1,-1,187,0
3255,29,137,2,-1,187,0
3260,45,959,1,-1,187,0
3261,42,1306,1,-1,187,0
3263,58,5618,1,-1,187,0
3270,44,2467,1,-1,187,0
3272,47,106,1,-1,187,0
3274,48,1757,1,-1,187,0
3275,34,87,2,-1,187,0
3278,40,2651,1,-1,187,0
3291,44,560,1,-1,187,0
3297,45,1953,3,-1,187,0
3301,21,0,5,-1,187,0
3303,30,2,1,-1,187,0
3315,56,344,1,-1,187,0
3317,54,653,1,-1,187,0
3320,45,660,2,-1,187,0
3325,53,1178,2,-1,187,0
3328,26,800,1,-1,187,0
3330,45,9077,1,-1,187,0
3337,40,3676,1,-1,187,0
3354,49,2219,2,-1,187,0
3359,47,2796,2,-1,187,0
3361,47,1192,2,-1,187,0
3372,35,6,1,-1,187,0
3379,60,79,1,-1,187,0
3383,34,1704,2,-1,187,0
3388,43,293,1,-1,187,0
3402,41,288,4,-1,187,0
3406,56,334,2,-1,187,0
3408,30,124,4,-1,187,0
3410,45,1363,5,-1,187,0
3413,58,1713,2,-1,187,0
3422,46,84,1,-1,187,0
3429,46,252,2,-1,187,0
3430,35,1215,1,-1,187,0
3433,35,0,1,-1,187,0
3435,56,28,1,-1,187,0
3436,41,323,6,-1,187,0
3438,36,-318,2,-1,187,0
3441,46,536,2,-1,187,0
3445,51,1779,2,-1,187,0
3446,38,1372,1,-1,187,0
3448,46,1934,3,-1,187,0
3457,46,1114,3,-1,187,0
3459,41,536,3,-1,187,0
3461,56,2552,2,-1,187,0
3465,35,494,4,-1,187,0
3471,41,102,1,-1,187,0
3472,33,279,1,-1,187,0
3478,46,31,1,-1,187,0
3502,30,370,1,-1,187,0
3505,55,72,4,-1,187,0
3513,55,666,5,-1,187,0
3514,45,520,4,-1,187,0
3515,58,3501,3,-1,187,0
3517,43,108,4,-1,187,0
3518,59,1423,2,-1,187,0
3522,44,0,6,-1,187,0
3528,58,288,7,-1,187,0
3531,43,632,2,-1,187,0
3532,36,263,2,-1,187,0
3537,54,-219,4,-1,187,0
3540,35,181,8,-1,187,0
3543,31,1819,2,-1,187,0
3546,32,55,9,-1,187,0
3547,34,326,2,-1,187,0
3550,43,5670,2,-1,187,0
3557,46,668,2,-1,187,0
3560,57,1,10,-1,187,0
3581,43,2767,7,-1,187,0
3582,44,140,9,-1,187,0
3584,37,77,7,-1,187,0
3587,56,690,2,-1,187,0
3602,52,2206,5,-1,187,0
3604,31,0,18,-1,187,0
3605,53,4541,6,-1,187,0
3611,52,395,3,-1,187,0
3613,59,975,4,-1,187,0
3614,41,768,4,-1,187,0
3629,43,2605,4,-1,187,0
3630,31,56,3,-1,187,0
3636,39,-21,3,-1,187,0
3639,52,108,12,-1,187,0
3640,45,805,3,-1,187,0
3654,43,-228,2,-1,186,0
3656,50,1332,3,-1,186,0
3661,31,0,4,-1,186,0
3664,60,773,22,-1,186,0
3683,57,3431,1,-1,186,0
3686,40,26,3,-1,186,0
3688,40,2523,1,-1,186,0
3694,45,-257,2,-1,186,0
3707,48,542,1,-1,186,0
3711,42,63,6,-1,186,0
3720,43,207,1,-1,186,0
3729,31,468,1,-1,186,0
3730,45,804,1,-1,186,0
3732,40,257,4,-1,186,0
3733,43,91,1,-1,186,0
3749,31,92,1,-1,186,0
3750,38,1146,1,-1,186,0
3759,50,556,2,-1,186,0
3764,34,0,1,-1,186,0
3765,23,2,1,-1,186,0
3766,59,646,1,-1,186,0
3769,33,58,2,-1,186,0
3770,29,163,1,-1,186,0
3775,47,1496,2,-1,186,0
3777,30,-306,1,-1,186,0
3780,26,241,1,-1,186,0
3782,43,-26,1,-1,186,0
3784,32,23,1,-1,186,0
3798,45,-1400,4,-1,186,0
3799,47,-656,2,-1,186,0
3801,28,507,1,-1,186,0
3811,22,118,1,-1,186,0
3817,36,246,2,-1,186,0
3821,38,113,2,-1,186,0
3824,36,63,2,-1,186,0
3825,24,-248,1,-1,186,0
3829,40,1758,3,-1,186,0
3831,35,523,1,-1,186,0
3836,45,876,1,-1,186,0
3837,45,1163,1,-1,186,0
3842,55,571,4,-1,186,0
3850,40,2073,2,-1,186,0
3852,35,53,2,-1,186,0
3858,41,124,2,-1,186,0
3869,27,-98,2,-1,186,0
3874,54,3343,1,-1,186,0
3884,29,272,3,-1,186,0
3885,28,103,2,-1,186,0
3892,43,822,1,-1,186,0
3895,47,242,4,-1,186,0
3896,33,64,3,-1,186,0
3901,41,28,1,-1,186,0
3906,36,146,3,-1,186,0
3908,34,641,1,-1,186,0
3909,44,1310,1,-1,186,0
3916,35,8,18,-1,186,0
3930,27,276,2,-1,186,0
3931,24,770,1,-1,186,0
3933,41,208,3,-1,186,0
3939,51,349,3,-1,186,0
3940,33,153,2,-1,186,0
3942,41,493,3,-1,186,0
3949,50,1906,17,-1,186,0
3955,36,1125,5,-1,186,0
3958,30,298,2,-1,186,0
3970,49,267,5,-1,186,0
3973,32,192,5,-1,186,0
3985,46,300,3,-1,186,0
3999,30,863,5,-1,186,0
4014,53,751,4,-1,186,0
4018,46,271,4,-1,186,0
4019,31,246,2,-1,186,0
4022,38,-326,3,-1,186,0
4024,60,26,6,-1,186,0
4025,42,10561,2,-1,186,0
4027,53,647,6,-1,186,0
4028,35,368,3,-1,186,0
4035,34,695,4,-1,186,0
4038,31,532,7,-1,186,0
4044,58,8014,3,-1,183,0
4045,47,584,19,-1,183,0
4049,27,276,2,-1,183,0
4052,26,-326,3,-1,183,0
4053,29,2099,2,-1,183,0
4058,50,-6,2,-1,183,0
4059,41,865,5,-1,183,0
4062,46,357,2,-1,183,0
4065,46,7934,1,-1,183,0
4066,55,1261,1,-1,183,0
4068,58,196,1,-1,183,0
4070,38,497,5,-1,183,0
4071,57,1920,2,-1,183,0
4072,54,8180,1,-1,183,0
4073,40,2784,1,-1,183,0
4076,40,-154,1,-1,183,0
4078,48,522,1,-1,183,0
4083,50,2402,1,-1,183,0
4086,43,674,1,-1,183,0
4090,41,1020,1,-1,183,0
4092,50,761,1,-1,183,0
4093,40,1380,1,-1,183,0
4094,30,71,6,-1,183,0
4095,44,-1249,4,-1,183,0
4108,26,75,1,-1,183,0
4111,46,4301,2,-1,183,0
4115,57,0,1,-1,183,0
4129,38,976,2,-1,183,0
4137,27,0,1,-1,183,0
4142,38,36,1,-1,183,0
4148,30,392,1,-1,183,0
4150,42,14752,2,-1,183,0
4155,32,1076,1,-1,183,0
4158,41,197,1,-1,183,0
4160,49,284,1,-1,183,0
